89_line_34	99_line_1
89_polygon_289	99_polygon_164
89_polygon_285	99_polygon_165
89_polygon_288	99_polygon_166
89_polygon_276	99_polygon_167
89_polygon_279	99_polygon_168
89_polygon_280	99_polygon_169
89_polygon_232	99_polygon_17
89_polygon_281	99_polygon_170
89_polygon_283	99_polygon_171
89_polygon_291	99_polygon_172
89_polygon_292	99_polygon_173
89_polygon_282	99_polygon_174
89_polygon_284	99_polygon_175
89_polygon_15	99_polygon_176
89_polygon_141	99_polygon_177
89_polygon_294	99_polygon_178
89_polygon_290	99_polygon_179
89_polygon_89	99_polygon_18
89_polygon_295	99_polygon_180
89_polygon_132	99_polygon_181
89_polygon_296	99_polygon_182
89_polygon_133	99_polygon_183
89_polygon_341	99_polygon_184
89_polygon_342	99_polygon_185
89_polygon_149	99_polygon_186
89_polygon_135	99_polygon_187
89_polygon_131	99_polygon_188
89_polygon_17	99_polygon_189
89_polygon_86	99_polygon_19
89_polygon_16	99_polygon_190
89_polygon_14	99_polygon_191
89_polygon_340	99_polygon_192
89_polygon_72	99_polygon_2
89_polygon_85	99_polygon_20
89_polygon_198	99_polygon_208
89_polygon_199	99_polygon_209
89_polygon_32	99_polygon_21
89_polygon_194	99_polygon_210
89_polygon_196	99_polygon_211
89_polygon_195	99_polygon_212
89_polygon_200	99_polygon_213
89_polygon_201	99_polygon_214
89_polygon_197	99_polygon_215
89_polygon_215	99_polygon_216
89_polygon_213	99_polygon_217
89_polygon_203	99_polygon_218
89_polygon_202	99_polygon_219
89_polygon_30	99_polygon_22
89_polygon_68	99_polygon_220
89_polygon_69	99_polygon_221
89_polygon_214	99_polygon_223
89_polygon_204	99_polygon_224
89_polygon_212	99_polygon_225
89_polygon_205	99_polygon_226
89_polygon_206	99_polygon_227
89_polygon_70	99_polygon_228
89_polygon_39	99_polygon_229
89_polygon_225	99_polygon_23
89_polygon_66	99_polygon_230
89_polygon_193	99_polygon_231
89_polygon_37	99_polygon_232
89_polygon_211	99_polygon_235
89_polygon_217	99_polygon_238
89_polygon_298	99_polygon_239
89_polygon_229	99_polygon_24
89_polygon_360	99_polygon_240
89_polygon_359	99_polygon_241
89_polygon_29	99_polygon_242
89_polygon_299	99_polygon_243
89_polygon_300	99_polygon_244
89_polygon_28	99_polygon_245
89_polygon_88	99_polygon_246
89_polygon_220	99_polygon_247
89_polygon_221	99_polygon_248
89_polygon_216	99_polygon_249
89_polygon_228	99_polygon_25
89_polygon_358	99_polygon_250
89_polygon_218	99_polygon_251
89_polygon_224	99_polygon_252
89_polygon_31	99_polygon_253
89_polygon_223	99_polygon_254
89_polygon_357	99_polygon_255
89_polygon_208	99_polygon_256
89_polygon_210	99_polygon_257
89_polygon_209	99_polygon_258
89_polygon_219	99_polygon_259
89_polygon_33	99_polygon_26
89_polygon_207	99_polygon_260
89_polygon_35	99_polygon_261
89_polygon_34	99_polygon_262
89_polygon_36	99_polygon_263
89_polygon_61	99_polygon_264
89_polygon_356	99_polygon_265
89_polygon_55	99_polygon_266
89_polygon_56	99_polygon_267
89_polygon_54	99_polygon_268
89_polygon_227	99_polygon_269
89_polygon_222	99_polygon_27
89_polygon_80	99_polygon_270
89_polygon_226	99_polygon_271
89_polygon_81	99_polygon_272
89_polygon_87	99_polygon_276
89_polygon_98	99_polygon_277
89_polygon_301	99_polygon_278
89_polygon_302	99_polygon_279
89_polygon_53	99_polygon_28
89_polygon_303	99_polygon_280
89_polygon_305	99_polygon_281
89_polygon_96	99_polygon_282
89_polygon_304	99_polygon_283
89_polygon_95	99_polygon_284
89_polygon_5	99_polygon_286
89_polygon_106	99_polygon_287
89_polygon_4	99_polygon_288
89_polygon_125	99_polygon_289
89_polygon_52	99_polygon_29
89_polygon_105	99_polygon_290
89_polygon_104	99_polygon_291
89_polygon_122	99_polygon_292
89_polygon_103	99_polygon_293
89_polygon_99	99_polygon_294
89_polygon_100	99_polygon_295
89_polygon_97	99_polygon_296
89_polygon_93	99_polygon_297
89_polygon_94	99_polygon_298
89_polygon_297	99_polygon_299
89_polygon_317	99_polygon_3
89_polygon_48	99_polygon_30
89_polygon_101	99_polygon_300
89_polygon_102	99_polygon_301
89_polygon_118	99_polygon_302
89_polygon_124	99_polygon_303
89_polygon_111	99_polygon_304
89_polygon_92	99_polygon_305
89_polygon_7	99_polygon_306
89_polygon_8	99_polygon_307
89_polygon_110	99_polygon_308
89_polygon_109	99_polygon_309
89_polygon_121	99_polygon_310
89_polygon_120	99_polygon_311
89_polygon_119	99_polygon_312
89_polygon_2	99_polygon_313
89_polygon_108	99_polygon_314
89_polygon_1	99_polygon_315
89_polygon_9	99_polygon_316
89_polygon_10	99_polygon_317
89_polygon_117	99_polygon_320
89_polygon_116	99_polygon_321
89_polygon_114	99_polygon_322
89_polygon_115	99_polygon_323
89_polygon_123	99_polygon_324
89_polygon_126	99_polygon_325
89_polygon_127	99_polygon_326
89_polygon_129	99_polygon_327
89_polygon_128	99_polygon_328
89_polygon_166	99_polygon_329
89_polygon_49	99_polygon_33
89_polygon_167	99_polygon_331
89_polygon_112	99_polygon_332
89_polygon_113	99_polygon_333
89_polygon_172	99_polygon_334
89_polygon_333	99_polygon_335
89_polygon_18	99_polygon_336
89_polygon_286	99_polygon_337
89_polygon_336	99_polygon_338
89_polygon_42	99_polygon_34
89_polygon_339	99_polygon_340
89_polygon_338	99_polygon_341
89_polygon_344	99_polygon_342
89_polygon_161	99_polygon_345
89_polygon_163	99_polygon_346
89_polygon_345	99_polygon_347
89_polygon_164	99_polygon_348
89_polygon_162	99_polygon_349
89_polygon_43	99_polygon_35
89_polygon_147	99_polygon_350
89_polygon_148	99_polygon_351
89_polygon_134	99_polygon_352
89_polygon_343	99_polygon_353
89_polygon_137	99_polygon_354
89_polygon_136	99_polygon_355
89_polygon_176	99_polygon_356
89_polygon_177	99_polygon_357
89_polygon_175	99_polygon_358
89_polygon_178	99_polygon_359
89_polygon_57	99_polygon_36
89_polygon_270	99_polygon_360
89_polygon_191	99_polygon_361
89_polygon_311	99_polygon_362
89_polygon_313	99_polygon_363
89_polygon_237	99_polygon_364
89_polygon_312	99_polygon_365
89_polygon_314	99_polygon_366
89_polygon_51	99_polygon_367
89_polygon_79	99_polygon_368
89_polygon_334	99_polygon_369
89_polygon_58	99_polygon_37
89_polygon_20	99_polygon_370
89_polygon_287	99_polygon_371
89_polygon_173	99_polygon_372
89_polygon_361	99_polygon_374
89_polygon_362	99_polygon_375
89_polygon_78	99_polygon_378
89_polygon_59	99_polygon_38
89_polygon_383	99_polygon_387
89_polygon_384	99_polygon_388
89_polygon_379	99_polygon_389
89_polygon_380	99_polygon_390
89_polygon_375	99_polygon_393
89_polygon_366	99_polygon_394
89_polygon_368	99_polygon_395
89_polygon_325	99_polygon_397
89_polygon_327	99_polygon_398
89_polygon_326	99_polygon_399
89_polygon_308	99_polygon_4
89_polygon_63	99_polygon_40
89_polygon_329	99_polygon_400
89_polygon_328	99_polygon_401
89_polygon_38	99_polygon_41
89_polygon_471	99_polygon_410
89_polygon_472	99_polygon_411
89_polygon_473	99_polygon_412
89_polygon_474	99_polygon_413
89_polygon_467	99_polygon_414
89_polygon_469	99_polygon_415
89_polygon_476	99_polygon_416
89_polygon_470	99_polygon_417
89_polygon_293	99_polygon_418
89_polygon_502	99_polygon_419
89_polygon_40	99_polygon_42
89_polygon_503	99_polygon_420
89_polygon_505	99_polygon_421
89_polygon_347	99_polygon_424
89_polygon_500	99_polygon_425
89_polygon_454	99_polygon_426
89_polygon_41	99_polygon_431
89_polygon_309	99_polygon_432
89_polygon_236	99_polygon_433
89_polygon_130	99_polygon_434
89_polygon_507	99_polygon_435
89_polygon_453	99_polygon_437
89_polygon_479	99_polygon_438
89_polygon_549	99_polygon_439
89_polygon_67	99_polygon_44
89_polygon_477	99_polygon_440
89_polygon_542	99_polygon_441
89_polygon_478	99_polygon_442
89_polygon_535	99_polygon_443
89_polygon_501	99_polygon_444
89_polygon_515	99_polygon_445
89_polygon_517	99_polygon_446
89_polygon_534	99_polygon_447
89_polygon_541	99_polygon_448
89_polygon_64	99_polygon_45
89_polygon_307	99_polygon_5
89_polygon_316	99_polygon_6
89_polygon_310	99_polygon_7
89_polygon_306	99_polygon_8
89_polygon_65	99_polygon_97
89_polygon_44	99_polygon_98
89_polygon_46	99_polygon_99
